reported_model,model_run,dataset,folder_name,session_timestamp,run_idx_in_session,step1_file,step2_file,step3_file,step4_file,validator_file,scheduler_log
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,2,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,1,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,2,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,1,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,2,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,1,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,2,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_204159.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,1,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,2,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,1,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,2,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,1,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,2,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_161341.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,1,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,,
qwen_qwen3.7-flash_lei_v3_cloud,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,2,step1_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,step2_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,,step4_resource_qwen_qwen3.7-flash_lei_v3_cloud_20260731_204159.csv,,
